Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
TFF1,0.5836,0.2389,0.5814,1.0,1.0,1.0,0.7891,1.0,0.2389,0.8062
TMPRSS3,0.1684,0.3551,0.8515,0.2622,0.492,0.0064,0.3986,0.1643,0.7359,0.0468
UBASH3A,0.4894,0.8257,0.0104,0.8584,0.7068,0.0216,0.627,0.0501,0.9568,0.0392
RSPH1,0.1416,0.3611,0.3473,0.6318,0.3831,0.0465,0.0762,0.113,0.2218,0.8135
SLC37A1,0.5018,0.8918,0.1276,0.5791,0.4049,0.417,0.1959,0.1795,0.6281,0.0907
AP001625.3,0.7573,0.0817,0.3613,0.7782,0.4483,0.4458,0.8395,0.3571,0.4551,1.0
AP001625.2,0.0598,0.3459,0.0298,0.5246,0.659,0.6432,0.2736,0.5108,0.7746,0.2144
LINC01671,0.2735,0.2244,0.7606,0.0777,0.7612,0.5545,0.2458,0.5157,0.5117,0.2114
PDE9A,0.1494,0.0121,0.6368,0.0054,0.2247,0.292,0.2165,0.1165,0.8672,0.0464
AP001628.1,0.6076,0.4174,0.5297,0.2845,1.0,1.0,1.0,0.1797,0.9982,0.2014
WDR4,0.5001,0.7217,0.4075,0.89,0.7867,0.8282,0.5669,0.8414,0.7214,0.6531
NDUFV3,0.5176,0.3514,0.8914,0.3833,0.7326,0.5368,0.8393,0.4152,0.8995,0.4172
ERVH48-1,0.5794,0.6162,0.1541,0.2295,0.9793,0.4677,0.4874,0.5854,0.5753,0.8766
AP001630.1,0.9531,0.9737,0.9527,0.7831,0.4745,0.0001,0.2814,0.4572,0.805,0.2925
PKNOX1,0.093,0.3912,0.1324,0.3893,0.0853,0.728,0.0741,0.042,0.9622,0.0657
CBS,0.336,0.2574,0.6705,0.1554,0.0426,0.3951,0.6599,0.6596,0.0091,0.2467
U2AF1,0.9749,0.391,0.0009,0.0263,0.5238,0.0126,0.143,0.0549,0.3556,0.4728
LINC01679,0.6659,0.5861,0.4057,0.1073,0.4656,0.735,0.0835,0.4187,0.1546,0.1421
AP001046.1,0.9546,0.9167,0.1448,0.9497,0.4554,0.4609,0.0001,0.4629,0.4622,0.2325
SIK1,0.0562,0.1487,0.4933,0.654,0.0377,0.0077,0.0009,0.3966,0.1315,0.7682
HSF2BP,0.8773,0.8881,0.9141,0.8211,0.6695,0.7642,0.6049,0.8008,1.0,0.678
RRP1B,0.0932,0.4607,0.2674,0.5393,0.4191,0.5895,0.0768,0.711,0.2428,0.1535
PDXK,0.4825,0.1975,0.9602,0.6952,0.5917,0.6007,0.8192,0.3318,0.4453,0.8199
CSTB,0.0013,0.0129,0.0356,0.0209,0.1089,0.0653,0.0223,0.5235,0.4477,0.9345
RRP1,0.8812,0.4642,0.7902,0.7042,0.5028,0.756,0.8566,0.7224,0.4211,0.6362
AATBC,0.5701,0.9999,0.1853,0.2422,0.9086,0.5223,0.81,0.6217,0.3876,0.7918
MYL6P1,1.0,1.0,0.0626,0.9948,0.0001,0.0157,0.0715,0.0464,1.0,0.2133
AGPAT3,0.3699,0.7929,0.1673,0.6643,0.3257,0.6383,0.2974,0.2211,0.8819,0.1778
TRAPPC10,0.0003,0.2436,0.0043,0.6644,0.3298,0.6471,0.0013,0.2965,0.3243,0.0164
H2AFZP1,0.1789,0.5142,0.2946,0.6996,0.435,0.0508,0.0196,0.1014,0.2639,0.553
PWP2,0.1486,0.0336,0.6714,0.0091,0.248,0.5414,0.0454,0.2272,0.7146,0.085
GATD3A,0.8185,0.1113,0.9711,0.4325,0.0777,0.8591,0.5122,0.2253,0.423,0.4825
LINC01678,0.1357,0.3995,0.7742,0.7622,0.3263,0.4016,0.1383,0.7188,0.4862,0.8173
AP001056.2,0.1571,0.0541,0.104,0.2121,0.0435,0.333,0.9253,0.4145,0.1032,0.559
AP001056.1,0.8908,0.2283,0.6709,0.6879,0.3153,0.9834,0.7358,0.8809,0.3313,0.9532
AP001057.1,0.4101,0.9395,0.2941,0.899,0.4665,0.2198,0.4447,0.4753,0.8739,0.38
ICOSLG,0.9953,0.3011,0.0221,0.8603,0.6507,0.1379,0.8941,0.046,0.5113,0.0936
DNMT3L,0.2106,0.2554,0.5368,0.2165,0.9893,0.1777,1.0,0.0679,0.9945,0.1903
AP001059.1,0.0561,0.0581,0.7155,0.4289,1.0,0.1942,0.4638,0.0728,0.3805,0.4602
AIRE,0.7357,0.8852,0.3293,0.6567,0.8736,0.6765,0.9689,0.6105,0.7904,0.6974
PFKL,0.8738,0.5867,0.6498,0.9885,0.5047,0.7856,0.9308,0.4282,0.66,0.7614
CFAP410,0.5217,0.7082,0.3868,0.2128,0.383,0.7903,0.5709,0.4496,0.2662,0.8489
AP001062.3,0.3391,0.6218,0.198,0.1083,0.186,0.7797,0.4828,0.2828,0.1758,0.9796
AP001062.1,0.3576,0.9434,0.1875,0.5091,0.377,0.7673,0.8703,0.5058,0.5304,0.6758
AP001063.1,0.5612,0.2769,0.0633,0.7976,1.0,0.1666,0.5741,0.1799,1.0,0.288
TRPM2,0.9192,0.3242,0.1466,0.9115,0.5587,0.3691,0.9639,0.1362,0.6748,0.4137
TRPM2-AS,0.3412,0.287,0.6439,0.2409,0.9254,0.8821,0.9158,0.5615,0.8163,0.5067
RF00285,0.2922,0.5517,0.3168,1.0,0.8251,1.0,0.4174,0.8188,0.5067,0.4159
LRRC3-DT,1.0,0.8422,0.5439,0.599,0.8262,0.7718,0.7209,0.7582,0.4711,1.0
LRRC3,0.6486,0.551,0.211,0.6682,0.8353,0.1742,0.9977,0.1334,0.8202,0.1682
MTCYBP21,0.3364,0.7802,0.2302,0.7002,0.0001,0.4593,1.0,0.4516,1.0,0.7228
MTND6P21,0.3422,0.9485,0.7262,0.1656,0.4601,0.6724,0.7485,1.0,1.0,0.8647
MTND5P1,0.4708,0.8656,0.3528,0.3184,0.3807,0.0933,0.2372,0.4195,0.0725,0.0415
AP001065.1,0.2248,0.3555,0.2397,0.844,0.9972,1.0,0.3493,1.0,0.4652,0.3754
LINC02575,0.7118,0.9496,0.7349,0.0654,0.0001,0.9287,0.4583,0.9212,0.339,0.5235
AP001065.2,0.1525,0.175,0.1624,0.4879,0.0001,0.0001,0.4301,0.0001,1.0,0.4275
TSPEAR,0.9145,0.711,0.8751,0.0952,0.4497,0.5182,0.423,1.0,0.1552,0.2741
TSPEAR-AS1,0.6019,0.5537,0.9328,0.8373,1.0,0.6601,0.8636,0.47,1.0,0.9935
TSPEAR-AS2,0.0405,0.6164,0.8797,0.1333,0.1238,0.2045,0.5578,0.3761,0.091,0.355
KRTAP10-1,0.0913,0.2943,0.0001,0.3377,1.0,1.0,1.0,0.4694,0.5334,0.0716
UBE2G2,0.1528,0.9797,0.0959,0.682,0.1899,0.7801,0.3798,0.1778,0.6981,0.2978
LINC01424,0.0562,0.7736,0.28,0.6054,0.3258,0.9235,0.4476,0.6404,0.9094,0.6335
SUMO3,0.3176,0.9931,0.1446,0.4367,0.3448,0.6371,0.1147,0.237,0.3931,0.0789
PTTG1IP,0.4487,0.3615,0.1731,0.3142,0.1482,0.5822,0.1079,0.0655,0.945,0.0538
ITGB2,0.6934,0.5096,0.4026,0.376,0.2173,0.6725,0.1476,0.1002,0.7959,0.0755
ITGB2-AS1,0.4549,0.4219,0.6647,0.4659,0.8424,0.2331,0.978,0.1905,0.8137,0.2392
AL844908.2,0.887,0.6135,0.2768,0.0274,0.6249,0.286,0.1119,0.6062,0.2207,0.3067
LINC01547,0.8505,0.764,0.1986,0.55,0.8745,0.325,0.5635,0.3668,0.6958,0.1113
AL844908.1,0.013,0.0625,0.7521,0.0128,0.2009,0.0311,0.8971,0.1581,0.1444,0.0298
FAM207A,0.8304,0.6553,0.9426,0.9864,0.7965,0.7646,0.8204,0.5963,0.6225,0.9481
AP001505.1,0.6201,0.9999,0.8528,0.8164,0.7358,0.8102,0.6859,0.9035,0.8742,0.7513
LINC00163,0.9528,0.9717,0.9503,0.1733,0.4553,0.0001,0.4572,0.4625,0.66,0.4635
SSR4P1,0.5899,0.8562,0.1772,0.0081,0.974,0.4764,0.0941,0.5403,0.1591,0.7895
ADARB1,0.4582,0.5789,0.2104,0.0847,0.9622,0.93,0.3185,0.9176,0.3713,0.9772
LINC00334,0.5382,0.2911,0.5767,0.7796,0.6247,0.3035,0.4053,0.1769,0.2422,0.8133
POFUT2,0.6243,0.6642,0.2853,0.8849,0.3328,0.696,0.5,0.3148,0.6956,0.4324
LINC00205,0.8447,0.8203,0.2418,0.679,0.6123,0.5335,0.8015,0.4205,0.3932,0.5978
COL18A1,0.6521,0.7013,0.4615,0.0903,0.4795,0.2763,0.3479,0.5707,0.2892,0.1439
SLC19A1,0.1649,0.686,0.3935,0.446,0.4611,0.6435,0.5924,0.7466,0.7657,0.9698
LINC01694,0.0182,0.0406,0.1132,0.2612,0.5818,0.5146,0.223,0.9642,0.3201,0.6109
AL133493.1,0.0149,0.4562,0.7152,0.2269,0.1701,0.0967,0.224,0.7106,0.6116,0.418
PCBP3,0.3607,0.1006,0.5646,0.0237,0.9353,0.8398,0.2715,0.4552,0.3886,0.2086
AL133492.1,0.8951,0.751,0.2824,0.0439,0.6595,0.219,0.2145,0.1916,0.29,0.0647
AL592528.1,0.0488,0.0784,0.094,0.0163,0.6558,0.5096,0.6482,0.4362,0.8193,0.4354
AJ011931.1,0.6289,0.1236,0.7204,0.1561,0.707,1.0,0.8064,0.431,0.8576,0.7295
AJ239328.1,0.3142,0.5182,0.6516,0.0757,0.8656,0.8736,0.4401,1.0,0.4834,0.3512
COL6A1,0.6386,0.9002,0.2331,0.1132,0.6211,0.1173,0.1011,0.2864,0.3077,0.7542
COL6A2,0.1951,0.3239,0.242,0.0327,0.6793,0.8083,0.5128,0.8401,0.5284,0.4999
FTCD,0.0059,0.9333,0.4021,0.004,0.0536,0.1386,0.3811,0.4893,0.0614,0.0885
SPATC1L,0.1983,0.7728,0.7099,0.5902,0.3519,0.3568,0.4454,0.9153,0.811,0.8299
AP001468.1,0.0177,0.132,0.4772,0.0493,0.1372,0.257,0.0053,0.6798,0.1933,0.1302
LSS,0.8003,0.3784,0.3598,0.7236,0.2745,0.2849,0.8789,0.1346,0.5232,0.3131
AP001469.1,0.0372,0.4717,0.0578,0.9636,0.2695,0.8197,0.0251,0.4724,0.4816,0.1882
MCM3AP-AS1,0.2755,0.6558,0.5017,0.139,0.4459,0.2163,0.6385,0.4814,0.2214,0.1277
MCM3AP,0.2654,0.9087,0.1097,0.0861,0.2382,0.5448,0.0164,0.2341,0.1017,0.0191
AP001469.2,0.1542,0.735,0.3364,0.6215,0.3515,0.9536,0.2749,0.874,1.0,0.8766
AP001469.3,0.8561,0.8276,0.6352,0.9536,0.9704,0.6528,0.9058,0.6529,0.8426,0.7083
YBEY,0.4679,0.8355,0.6435,0.6099,0.3898,0.3994,0.8112,0.8298,0.4195,0.476
C21orf58,0.1323,0.4493,0.0176,0.2453,0.5231,0.4964,0.6523,0.2379,0.7464,0.2693
PCNT,0.0996,0.6926,0.017,0.8763,0.2474,0.5801,0.1882,0.1162,0.8008,0.0716
AP000471.1,0.6911,0.351,0.1741,0.8123,0.4859,0.464,0.713,0.8179,0.398,0.4371
RPL18AP2,0.456,0.3852,0.7169,0.4612,1.0,0.7277,1.0,0.438,1.0,0.6544
DIP2A,0.0043,0.2794,0.0133,0.6439,0.0893,0.9449,0.0323,0.2443,0.5428,0.0913
DIP2A-IT1,0.8998,0.8539,0.1008,0.2382,0.8111,0.29,0.4674,0.1538,0.3736,0.8324
S100B,0.0412,0.7896,0.3298,0.7063,0.0851,0.0166,0.37,0.0001,0.1017,0.1874
PRMT2,0.9008,0.39,0.611,0.3478,0.4142,0.6141,0.407,0.2152,0.9313,0.2269
DSTNP1,0.089,0.6234,0.2274,0.9838,0.3651,0.9312,0.1213,0.6834,0.6923,0.4579
FRG1FP,0.7302,0.9518,0.7216,0.7217,1.0,0.6955,0.6995,1.0,1.0,0.6924
FRG1GP,0.0337,0.0772,0.082,0.0846,0.0001,0.0728,1.0,1.0,1.0,1.0
AP000542.3,0.6298,0.9245,0.8653,0.7939,0.4582,0.4282,0.0705,1.0,0.8076,0.865
POTEH,0.0001,0.0001,0.0944,0.0519,0.0001,0.4267,0.4671,1.0,0.3551,0.5376
GRAMD4P2,0.0001,0.2046,0.098,0.3392,0.4546,0.4556,0.1435,0.6426,0.7618,0.8106
DUXAP8,0.4703,0.5623,0.9813,0.9033,0.5071,0.102,0.276,0.1711,0.4571,0.7976
AP000526.1,0.714,0.9473,0.1035,0.7114,0.0001,0.4652,0.0001,0.4556,0.0001,0.2381
AP000525.1,0.6075,0.4895,0.5808,0.9207,0.0001,0.0718,0.0979,1.0,0.2445,0.2231
DUXAP8,0.6217,0.8263,0.9146,0.832,0.4627,0.4556,0.4272,0.6074,0.8069,0.7033
AP000523.1,0.9611,0.7714,0.9533,0.4905,1.0,0.5689,0.6209,1.0,0.6204,0.6068
TPTEP1,0.9544,0.9528,0.1346,0.1536,0.0001,0.4597,0.4618,0.3274,0.2364,1.0
LINC01665,0.9531,0.953,0.7184,1.0,0.0001,0.2887,0.0748,1.0,1.0,0.864
XKR3,0.5793,0.255,0.6855,0.997,0.4543,0.9624,0.5798,0.3839,0.0727,0.5709
ZNF402P,0.0233,0.0001,0.0001,0.3338,0.2548,0.0642,0.7967,0.0001,1.0,0.0693
CECR7,0.4802,0.6113,0.308,0.3378,0.2101,0.7696,0.7739,0.1781,0.2464,0.9743
AC006946.2,0.6573,0.1784,0.3104,0.5573,0.1428,0.6446,0.9282,0.0458,0.0617,0.6538
AC006946.3,0.713,0.1312,0.7731,0.4755,0.2043,0.898,0.8469,0.131,0.0661,0.6748
IL17RA,0.3838,0.7385,0.1987,0.9914,0.391,0.8563,0.4781,0.2004,0.7694,0.3078
AC006946.1,0.9636,0.776,0.2468,0.4336,1.0,0.422,0.731,0.1479,0.3344,0.6364
TMEM121B,0.3848,0.5046,0.2973,0.1634,0.4204,0.9831,0.6334,0.2766,0.3713,0.6901
HDHD5,0.8178,0.904,0.4782,0.9858,0.7745,0.693,0.9087,0.4684,0.9165,0.6087
HDHD5-AS1,0.3798,0.2238,0.1869,0.8662,0.9706,0.7531,0.3879,0.8695,0.4199,0.4752
ADA2,0.8593,0.2724,0.5518,0.5407,0.5571,0.5993,0.6044,0.3145,0.3418,0.9928
AC005300.1,0.7106,0.9872,0.0384,0.1677,0.5292,0.0204,0.1793,0.0708,0.4319,1.0
FAM32BP,0.6834,0.9636,0.5806,0.5757,0.5915,0.2325,0.2623,0.4605,0.392,1.0
CECR3,0.0145,0.4842,0.5992,0.4308,0.457,0.1095,0.0165,0.4925,0.8124,0.467
RN7SL843P,0.0001,0.0001,0.0772,0.0937,0.0001,0.4373,0.4565,0.3312,0.3264,0.8976
CECR2,0.1867,0.6978,0.4162,0.1961,0.3403,0.9578,0.9198,0.9063,0.3338,0.9586
SLC25A18,0.9275,0.0971,0.7781,0.5439,0.17,0.947,0.6456,0.0335,0.2202,0.3851
AC007666.1,0.287,0.3428,0.6644,0.3146,0.0001,0.285,0.4661,1.0,0.4517,0.3554
ATP6V1E1,0.186,0.1452,0.7782,0.0865,0.899,0.421,0.6291,0.3146,0.6953,0.2408
BCL2L13,0.1222,0.5832,0.0871,0.3746,0.0973,0.7669,0.0584,0.0725,0.7427,0.0569
BID,0.2956,0.2839,0.4577,0.0682,0.9153,0.2143,0.3228,0.225,0.3258,0.0957
LINC00528,0.9523,0.7804,0.3976,0.9846,0.8015,0.4027,0.9645,0.5983,0.7858,0.4926
MICAL3,0.0098,0.462,0.0362,0.341,0.0677,0.808,0.1212,0.3178,0.8423,0.3421
AC016027.3,0.7917,0.0399,0.6561,0.2113,0.1098,0.8646,0.2716,0.3575,0.7943,0.4068
AC016027.2,0.3962,0.0274,0.5858,0.2216,0.4116,0.271,0.9221,0.0579,0.5671,0.2166
LINC01634,0.4156,0.3352,0.6291,0.2939,0.7617,0.1529,0.9014,0.1864,0.9961,0.4633
AC016027.1,0.4311,0.896,0.1628,0.7937,0.2925,0.5243,0.0813,0.3069,0.3051,0.1342
PEX26,0.8165,0.9781,0.1667,0.4643,0.7833,0.3026,0.1592,0.3059,0.3749,0.1086
AC016027.5,0.9984,0.9832,0.5441,0.9847,0.85,0.6669,0.8725,0.6884,1.0,0.8132
AC016027.4,0.2131,0.8215,0.0276,0.1095,0.5322,0.6021,0.0391,0.186,0.1182,0.0076
ARL2BPP10,0.1516,0.0731,0.0967,0.2776,0.6626,0.9848,0.6957,0.681,0.4766,0.6065
TUBA8,0.3875,0.9824,0.4104,0.4142,0.2484,0.1718,0.9573,0.6843,0.2651,0.2294
AC008079.1,0.47,0.9134,0.392,0.6025,0.253,0.2037,0.8404,0.6933,0.427,0.3154
USP18,0.3058,0.4878,0.2377,0.2746,0.3069,0.0822,0.9177,0.1338,0.628,0.0978
AC023490.2,0.5351,1.0,0.8616,0.4204,0.4559,0.29,0.4568,0.8918,0.4601,0.7315
TMEM191B,0.2015,0.4098,0.1001,0.8798,0.645,0.7489,0.2793,0.6712,0.2735,0.361
PI4KAP1,0.0159,0.0208,0.0649,0.3305,0.7574,0.9197,0.2316,0.921,0.2757,0.5743
RIMBP3,0.8977,0.5638,0.6532,0.8149,0.4174,0.818,0.7299,0.0354,0.6733,0.216
AC008132.1,0.3369,0.0001,0.0001,0.0981,1.0,1.0,0.659,0.0001,0.3249,0.4626
DGCR6,0.3248,0.2572,0.1951,0.5122,0.8021,0.0584,0.6058,0.0489,0.2057,0.0977
PRODH,0.6578,0.4883,0.4691,0.8952,0.292,0.9226,0.7382,0.0482,0.1864,0.3026
AC000095.1,0.95,0.1565,0.3151,0.9172,0.4089,0.5166,0.7674,0.9534,0.4136,0.5099
DGCR10,0.0278,0.0642,0.1026,0.0001,0.7057,0.9496,0.17,0.7834,0.1747,0.3504
AC000095.3,0.3269,0.0701,0.1038,0.0803,0.5264,0.3654,0.6659,0.7737,0.9891,0.732
CA15P1,0.3336,0.0001,0.0125,0.0001,1.0,0.2393,0.7159,0.1235,0.0001,0.1183
DGCR2,0.7696,0.8155,0.6937,0.8578,0.5941,0.8613,0.668,0.5451,0.9589,0.5983
DGCR11,0.8843,0.4469,0.3453,0.4604,0.3869,0.4745,0.6104,0.1072,0.2113,0.8681
AC004461.1,0.6833,0.9979,0.3624,0.6349,0.9959,0.9816,1.0,0.7124,0.9273,1.0
AC004461.2,0.0117,0.7809,0.8921,0.5612,0.0185,0.0325,0.1161,0.7298,0.4268,0.6982
AC004471.1,0.1692,0.823,0.9844,0.6175,0.2574,0.2632,0.1534,0.9886,0.6045,0.6754
AC004471.2,0.4098,0.343,0.3957,0.1736,0.066,0.2085,0.6186,0.8876,0.3445,0.3072
TSSK1A,0.7877,0.3495,1.0,0.1078,0.3678,0.8458,0.1705,0.4768,0.0822,0.1972
ESS2,0.7304,0.342,0.9622,0.6672,0.474,0.7212,0.9165,0.3662,0.5781,0.6666
TSSK2,0.077,0.1806,0.3136,0.8506,0.678,0.4995,0.3145,0.7199,0.384,0.6127
LINC01311,0.1854,0.7213,0.3943,0.6843,0.1929,0.6167,0.3483,0.233,0.3207,0.5831
SLC25A1,0.888,0.4633,0.9663,0.8589,0.5246,0.8475,0.9755,0.4313,0.584,0.8452
CLTCL1,0.9005,0.7395,0.9216,0.7301,0.9704,0.9499,0.6608,0.68,0.123,0.4837
KRT18P62,0.0956,0.0001,0.0001,0.0246,1.0,1.0,0.8022,0.0001,0.2456,0.1011
HIRA,0.6707,0.7709,0.8462,0.2358,0.5237,0.8628,0.1212,0.669,0.373,0.2687
C22orf39,0.2593,0.8249,0.2816,0.5369,0.2001,0.9932,0.0922,0.2883,0.6144,0.1509
RN7SL168P,0.4037,0.3869,0.9592,0.8775,0.5137,0.4229,0.3179,0.4368,0.4319,0.8701
MRPL40,0.0037,0.2532,0.0537,0.078,0.1248,0.2444,0.2528,0.5598,0.6486,0.9171
AC000068.1,0.9831,0.346,0.4964,0.0543,0.3139,0.529,0.214,0.1312,0.0738,0.3445
UFD1,0.0155,0.2576,0.1057,0.028,0.0201,0.1813,0.7038,0.4344,0.0698,0.3585
AC000068.3,0.0134,0.4943,0.0225,0.8118,0.3883,0.8501,0.0372,0.415,0.5303,0.0787
AC000068.2,0.0117,0.1001,0.0647,0.0357,0.1889,0.4154,0.4531,0.812,0.6203,0.8461
CDC45,0.4137,0.6917,0.7416,0.0581,0.6552,0.6329,0.1417,0.9337,0.0773,0.0888
CLDN5,0.5335,0.569,0.5408,0.4957,0.0001,0.4384,0.1401,0.4493,0.6129,0.7602
SEPT5,0.0093,0.5461,0.1408,0.0354,0.0619,0.3192,0.4287,0.2092,0.1208,0.8647
GP1BB,0.1614,0.3028,0.7472,0.0373,0.2905,0.402,0.6115,0.3209,0.0871,0.2612
TBX1,0.6812,1.0,0.9952,1.0,0.9971,0.9937,0.6658,0.7943,0.5284,0.8577
GNB1L,0.3996,0.5685,0.6869,0.657,0.2677,0.7135,0.7042,0.4396,0.3734,0.9818
AC000089.1,0.2823,1.0,0.3835,0.2707,0.1926,0.9936,0.6576,0.4625,0.3882,0.7708
RTL10,0.1173,0.929,0.1498,0.8401,0.2021,0.9009,0.1315,0.2967,0.7184,0.1899
TXNRD2,0.9147,0.9256,0.3769,0.8939,0.8628,0.4464,0.857,0.5209,0.967,0.5873
AC000078.1,0.014,0.5198,0.031,0.1002,0.0381,0.872,0.8802,0.1528,0.07,0.7719
COMT,0.8033,0.5778,0.5527,0.8411,0.7695,0.4838,0.9775,0.4046,0.7904,0.5433
ARVCF,0.2554,0.1732,0.9749,0.1434,0.5843,0.5201,0.0285,0.4608,0.0199,0.3254
TANGO2,0.6613,0.5145,0.6959,0.3175,0.8645,0.5495,0.641,0.4229,0.6342,0.3033
AC006547.1,0.978,0.9493,0.1818,0.1608,0.899,0.3254,0.3021,0.3436,0.3062,1.0
AC006547.3,0.9884,0.3617,0.8477,0.4622,0.3284,0.8783,0.4362,0.3233,0.6562,0.3856
RF00017,0.8841,0.3226,0.1181,0.0422,1.0,0.5609,0.1591,0.1522,0.0648,0.5794
DGCR8,0.156,0.906,0.2496,0.9724,0.2735,0.7936,0.2659,0.3687,0.9379,0.3333
AC006547.2,0.5189,0.9856,0.6168,1.0,0.6029,0.8247,0.5734,0.7003,0.9791,0.6664
TRMT2A,0.209,0.9072,0.3752,0.6927,0.1969,0.8979,0.5001,0.4481,0.6094,0.644
RANBP1,0.2247,0.6849,0.5731,0.1472,0.4966,0.5759,0.8775,0.9017,0.3475,0.4533
SNORA77B,0.5538,0.3282,0.3021,0.3117,0.877,0.2948,0.2017,0.1682,0.1594,0.9135
ZDHHC8,0.1593,0.9755,0.3363,0.4033,0.2256,0.8396,0.6173,0.5033,0.4054,0.8787
CCDC188,0.2703,0.8303,0.2713,0.915,0.49,0.9857,0.4134,0.9657,1.0,0.876
AC007663.2,0.5282,0.5501,0.5355,0.5771,0.0001,0.0001,0.2814,0.0001,1.0,0.2861
LINC00896,0.5444,0.5198,0.8834,0.7414,0.8928,0.8735,0.8148,0.7358,0.8434,1.0
RTN4R,0.8217,0.5706,0.7031,0.8858,0.129,0.125,0.1876,0.9175,0.3562,0.5643
DGCR6L,0.899,0.3929,0.7796,0.8181,0.5368,0.7513,0.7466,0.3906,0.3889,0.9512
AC007663.4,0.0027,0.6834,0.2965,0.3995,0.0877,0.073,0.0554,0.8455,1.0,0.9799
AC007663.3,0.2763,0.9033,0.1365,0.6803,0.2808,1.0,0.2192,0.1908,0.672,0.1063
FAM230G,0.7104,0.1953,0.9502,0.0667,0.536,0.7175,0.4386,0.1756,0.6726,0.1901
USP41,0.2304,0.1915,0.7956,0.7672,1.0,0.4202,0.4316,0.4578,0.1949,0.8413
ZNF74,0.2303,0.9726,0.5637,0.4699,0.2902,0.5866,0.0889,0.574,0.4126,0.262
SCARF2,0.5645,0.3534,0.744,0.7711,0.1464,0.861,0.7577,0.4178,0.1638,0.9726
KLHL22,0.7713,0.6066,0.2931,0.8714,0.4064,0.5276,0.6857,0.2124,0.8047,0.3944
AC007731.1,0.0263,0.8543,0.0185,0.0374,0.1288,0.4195,0.7136,0.1722,0.2239,0.8255
RNY1P9,0.4801,0.9278,0.8143,0.7322,0.4613,0.2824,0.0706,0.6162,0.5407,0.6979
RN7SL812P,0.7682,0.9526,0.6603,0.0211,0.8677,0.4023,0.0591,0.5775,0.0623,0.1892
KRT18P5,0.0969,0.6929,0.3694,0.0601,0.217,0.1212,0.0491,0.3877,0.1878,0.4614
MED15,0.7398,0.58,0.3787,0.9263,0.3905,0.5777,0.8951,0.2124,0.5101,0.4755
AC007731.3,0.0976,0.7283,0.7907,0.1158,0.1671,0.1363,0.0266,0.6383,0.2479,0.3311
CCDC74BP1,0.2948,0.3009,0.3699,0.6716,0.8495,0.1355,0.433,0.1658,0.4342,0.8493
SMPD4P1,0.0084,0.9767,0.0365,0.0082,0.1057,0.3145,0.4049,0.43,0.142,0.966
ABHD17AP4,1.0,0.6263,0.747,0.6898,1.0,0.867,0.9939,1.0,0.3368,1.0
BCRP5,0.7123,0.9472,0.9091,0.7248,0.0001,0.4237,0.0667,1.0,1.0,1.0
TMEM191A,0.7461,0.7541,0.5715,0.7082,0.4062,0.822,0.9621,0.4428,0.3852,0.8312
PI4KA,0.032,0.4011,0.0618,0.6953,0.4947,0.8813,0.076,0.5255,0.4278,0.1484
SERPIND1,0.3215,0.9495,0.5088,0.1586,0.4815,0.7215,0.6517,0.6581,0.3657,0.3468
SNAP29,0.4827,0.4686,0.2693,0.2126,0.2952,0.7451,0.1567,0.2044,0.6297,0.0924
AC007308.1,0.0122,0.136,0.3789,0.2331,0.2572,0.0846,0.0864,0.4898,0.6294,0.7542
CRKL,0.1184,0.9561,0.1761,0.247,0.1711,0.8199,0.0447,0.1976,0.1736,0.0464
LINC01637,0.5669,0.2557,0.0215,0.0842,0.9182,0.3151,0.487,0.2867,0.5302,0.559
AIFM3,0.9617,0.9642,0.4382,0.3826,0.9319,0.7421,0.4229,0.7206,0.5096,0.9457
AC002470.1,0.0913,0.7754,0.7406,0.3255,0.1695,0.187,0.3702,0.9859,0.4655,0.5184
LZTR1,0.5867,0.8947,0.1613,0.6904,0.7209,0.4767,0.8621,0.4353,0.822,0.4515
THAP7,0.8048,0.5545,0.9178,0.6888,0.4424,0.8043,0.9217,0.4921,0.3792,0.7731
THAP7-AS1,0.2849,0.9638,0.3149,0.9676,0.2908,0.9759,0.2231,0.3648,0.9954,0.3072
AC002472.2,0.3714,0.9713,0.1417,0.7477,0.5223,0.591,0.6165,0.2998,0.8271,0.3268
P2RX6,0.8761,0.3817,0.6462,0.9014,0.5917,0.7264,1.0,0.7176,0.5513,0.7724
SLC7A4,0.0813,0.2038,0.3385,0.3336,0.4556,0.5144,0.9853,0.8785,0.8037,0.6913
FAM230B,0.8994,0.9507,0.7163,0.3341,1.0,1.0,1.0,0.0001,1.0,1.0
GGT2,0.7098,0.9737,0.7171,0.0447,0.4575,0.0001,0.1107,0.4651,0.5602,0.1115
RIMBP3B,1.0,0.9511,1.0,0.2576,0.9628,0.8571,0.3537,0.9672,0.1807,0.3576
HIC2,0.071,0.836,0.1583,0.5217,0.1614,0.9895,0.2705,0.5076,0.6755,0.6192
TMEM191C,0.5293,0.9194,0.2197,0.7614,0.4184,0.7071,0.6817,0.5088,0.6051,0.6037
PI4KAP2,0.0821,0.2713,0.0733,0.6782,0.7862,0.8067,0.285,0.6739,0.6569,0.3394
RIMBP3C,0.9114,0.9758,0.1615,0.716,0.6394,0.8594,1.0,0.8036,0.4607,0.713
